query_flight_iata,airline_name,departure_airport,departure_iata,departure_scheduled,arrival_airport,arrival_iata,arrival_scheduled,flight_status
7C6013,Jeju Air,Seoul (Incheon),ICN,2026-08-16T20:40:00+00:00,Hong Kong International,HKG,2026-08-16T23:35:00+00:00,active
7C6014,Jeju Air,Hong Kong International,HKG,2026-08-17T00:35:00+00:00,Seoul (Incheon),ICN,2026-08-17T05:30:00+00:00,scheduled
BX3935,Air Busan,Seoul (Incheon),ICN,2026-08-16T21:30:00+00:00,Hong Kong International,HKG,2026-08-17T00:15:00+00:00,active
BX3945,Air Busan,Hong Kong International,HKG,2026-08-17T01:25:00+00:00,Seoul (Incheon),ICN,2026-08-17T06:25:00+00:00,scheduled
CX410,Qantas,Hong Kong International,HKG,2026-08-16T09:25:00+00:00,Seoul (Incheon),ICN,2026-08-16T14:05:00+00:00,landed
CX411,Cathay Pacific,Seoul (Incheon),ICN,2026-08-16T15:10:00+00:00,Hong Kong International,HKG,2026-08-16T18:00:00+00:00,active
CX413,Cathay Pacific,Seoul (Incheon),ICN,2026-08-16T08:00:00+00:00,Hong Kong International,HKG,2026-08-16T10:50:00+00:00,landed
CX418,Cathay Pacific,Hong Kong International,HKG,2026-08-16T14:25:00+00:00,Seoul (Incheon),ICN,2026-08-16T19:05:00+00:00,landed
CX419,Qatar Airways,Seoul (Incheon),ICN,2026-08-16T20:05:00+00:00,Hong Kong International,HKG,2026-08-16T23:00:00+00:00,active
CX426,American Airlines,Hong Kong International,HKG,2026-08-16T19:45:00+00:00,Seoul (Incheon),ICN,2026-08-17T00:25:00+00:00,scheduled
CX427,Cathay Pacific,Seoul (Incheon),ICN,2026-08-17T01:55:00+00:00,Hong Kong International,HKG,2026-08-17T04:45:00+00:00,scheduled
CX430,Cathay Pacific,Hong Kong International,HKG,2026-08-16T17:40:00+00:00,Seoul (Incheon),ICN,2026-08-16T22:25:00+00:00,active
CX434,Cathay Pacific,Hong Kong International,HKG,2026-08-16T07:55:00+00:00,Seoul (Incheon),ICN,2026-08-16T12:40:00+00:00,landed
CX439,Qatar Airways,Seoul (Incheon),ICN,2026-08-16T13:40:00+00:00,Hong Kong International,HKG,2026-08-16T16:30:00+00:00,landed
HX626,Hong Kong Airlines,Hong Kong International,HKG,2026-08-16T20:50:00+00:00,Seoul (Incheon),ICN,2026-08-17T01:35:00+00:00,scheduled
HX627,Hong Kong Airlines,Seoul (Incheon),ICN,2026-08-17T02:35:00+00:00,Hong Kong International,HKG,2026-08-17T05:45:00+00:00,scheduled
HX628,Hong Kong Airlines,Hong Kong International,HKG,2026-08-16T08:45:00+00:00,Seoul (Incheon),ICN,2026-08-16T13:35:00+00:00,landed
HX629,Hong Kong Airlines,Seoul (Incheon),ICN,2026-08-16T14:35:00+00:00,Hong Kong International,HKG,2026-08-16T17:40:00+00:00,active
KE2001,Korean Air,Seoul (Incheon),ICN,2026-08-16T08:05:00+00:00,Hong Kong International,HKG,2026-08-16T10:55:00+00:00,landed
KE2002,Korean Air,Hong Kong International,HKG,2026-08-16T12:20:00+00:00,Seoul (Incheon),ICN,2026-08-16T17:05:00+00:00,landed
KE2005,Korean Air,Seoul (Incheon),ICN,2026-08-16T13:25:00+00:00,Hong Kong International,HKG,2026-08-16T16:20:00+00:00,landed
KE2006,Korean Air,Hong Kong International,HKG,2026-08-16T17:55:00+00:00,Seoul (Incheon),ICN,2026-08-16T22:45:00+00:00,active
KE2011,Air Canada,Seoul (Incheon),ICN,2026-08-16T19:45:00+00:00,Hong Kong International,HKG,2026-08-16T22:45:00+00:00,active
KE2012,Korean Air,Hong Kong International,HKG,2026-08-17T00:45:00+00:00,Seoul (Incheon),ICN,2026-08-17T05:25:00+00:00,scheduled
OZ721,Asiana Airlines,Seoul (Incheon),ICN,2026-08-16T09:00:00+00:00,Hong Kong International,HKG,2026-08-16T11:40:00+00:00,landed
OZ722,Hong Kong Airlines,Hong Kong International,HKG,2026-08-16T13:00:00+00:00,Seoul (Incheon),ICN,2026-08-16T17:35:00+00:00,landed
OZ745,Asiana Airlines,Seoul (Incheon),ICN,2026-08-16T20:35:00+00:00,Hong Kong International,HKG,2026-08-16T23:30:00+00:00,active
OZ746,Asiana Airlines,Hong Kong International,HKG,2026-08-17T01:40:00+00:00,Seoul (Incheon),ICN,2026-08-17T06:20:00+00:00,scheduled
TW643,T'way Air,Seoul (Incheon),ICN,2026-08-16T08:45:00+00:00,Hong Kong International,HKG,2026-08-16T11:55:00+00:00,landed
TW644,T'way Air,Hong Kong International,HKG,2026-08-16T13:15:00+00:00,Seoul (Incheon),ICN,2026-08-16T18:05:00+00:00,landed
UO614,HK express,Hong Kong International,HKG,2026-08-16T21:00:00+00:00,Seoul (Incheon),ICN,2026-08-17T01:40:00+00:00,scheduled
UO615,HK express,Seoul (Incheon),ICN,2026-08-17T02:35:00+00:00,Hong Kong International,HKG,2026-08-17T05:25:00+00:00,scheduled
UO616,HK express,Hong Kong International,HKG,2026-08-17T00:50:00+00:00,Seoul (Incheon),ICN,2026-08-17T05:30:00+00:00,scheduled
UO617,HK express,Seoul (Incheon),ICN,2026-08-16T06:40:00+00:00,Hong Kong International,HKG,2026-08-16T09:30:00+00:00,landed
UO618,HK express,Hong Kong International,HKG,2026-08-16T07:15:00+00:00,Seoul (Incheon),ICN,2026-08-16T11:50:00+00:00,landed
UO619,HK express,Seoul (Incheon),ICN,2026-08-16T12:45:00+00:00,Hong Kong International,HKG,2026-08-16T15:35:00+00:00,landed
UO626,HK express,Hong Kong International,HKG,2026-08-16T16:55:00+00:00,Seoul (Incheon),ICN,2026-08-16T21:35:00+00:00,active
UO627,HK express,Seoul (Incheon),ICN,2026-08-16T22:30:00+00:00,Hong Kong International,HKG,2026-08-17T01:10:00+00:00,active
UO630,HK express,Hong Kong International,HKG,2026-08-16T09:45:00+00:00,Seoul (Incheon),ICN,2026-08-16T14:25:00+00:00,landed
UO631,HK express,Seoul (Incheon),ICN,2026-08-16T15:25:00+00:00,Hong Kong International,HKG,2026-08-16T18:15:00+00:00,active
YP801,Air Premia,Seoul (Incheon),ICN,2026-08-16T09:15:00+00:00,Hong Kong International,HKG,2026-08-16T12:00:00+00:00,landed
YP802,Air Premia,Hong Kong International,HKG,2026-08-16T13:30:00+00:00,Seoul (Incheon),ICN,2026-08-16T18:15:00+00:00,landed
ZE861,Eastar Jet,Seoul (Incheon),ICN,2026-08-16T20:10:00+00:00,Hong Kong International,HKG,2026-08-16T22:45:00+00:00,active
ZE862,Eastar Jet,Hong Kong International,HKG,2026-08-17T00:05:00+00:00,Seoul (Incheon),ICN,2026-08-17T04:55:00+00:00,scheduled
CX502,Qatar Airways,Hong Kong International,HKG,2026-08-16T16:30:00+00:00,Kansai International,KIX,2026-08-16T21:15:00+00:00,landed
CX503,Cathay Pacific,Kansai International,KIX,2026-08-16T09:45:00+00:00,Hong Kong International,HKG,2026-08-16T13:05:00+00:00,landed
CX506,Cathay Pacific,Hong Kong International,HKG,2026-08-16T10:25:00+00:00,Kansai International,KIX,2026-08-16T15:10:00+00:00,scheduled
CX507,Cathay Pacific,Kansai International,KIX,2026-08-16T17:35:00+00:00,Hong Kong International,HKG,2026-08-16T20:50:00+00:00,active
CX565,Japan Airlines,Taiwan Taoyuan International (Chiang Kai Shek International),TPE,2026-08-16T19:15:00+00:00,Hong Kong International,HKG,2026-08-16T21:10:00+00:00,active
CX566,Cathay Pacific,Hong Kong International,HKG,2026-08-17T01:55:00+00:00,Kansai International,KIX,2026-08-17T06:40:00+00:00,scheduled
CX569,Cathay Pacific,Kansai International,KIX,2026-08-16T19:25:00+00:00,Hong Kong International,HKG,2026-08-16T22:40:00+00:00,active
CX595,Cathay Pacific,Kansai International,KIX,2026-08-16T18:30:00+00:00,Hong Kong International,HKG,2026-08-16T21:40:00+00:00,active
CX596,Cathay Pacific,Hong Kong International,HKG,2026-08-16T08:10:00+00:00,Kansai International,KIX,2026-08-16T12:55:00+00:00,landed
CX597,Cathay Pacific,Kansai International,KIX,2026-08-16T09:05:00+00:00,Hong Kong International,HKG,2026-08-16T12:15:00+00:00,landed
CX598,Japan Airlines,Hong Kong International,HKG,2026-08-16T13:20:00+00:00,Kansai International,KIX,2026-08-16T18:05:00+00:00,landed
HB2348,Greater Bay Airlines,Hong Kong International,HKG,2026-08-16T19:25:00+00:00,Kansai International,KIX,2026-08-17T00:10:00+00:00,scheduled
HB2349,Greater Bay Airlines,Kansai International,KIX,2026-08-17T01:00:00+00:00,Hong Kong International,HKG,2026-08-17T04:15:00+00:00,scheduled
HB2352,Greater Bay Airlines,Hong Kong International,HKG,2026-08-16T09:20:00+00:00,Kansai International,KIX,2026-08-16T14:10:00+00:00,landed
HB2353,Greater Bay Airlines,Kansai International,KIX,2026-08-16T15:00:00+00:00,Hong Kong International,HKG,2026-08-16T18:10:00+00:00,active
HB340,Greater Bay Airlines,Hong Kong International,HKG,2026-08-16T08:15:00+00:00,Kansai International,KIX,2026-08-16T13:05:00+00:00,landed
HB341,Greater Bay Airlines,Kansai International,KIX,2026-08-16T14:00:00+00:00,Hong Kong International,HKG,2026-08-16T17:15:00+00:00,active
HX612,Hong Kong Airlines,Hong Kong International,HKG,2026-08-16T14:20:00+00:00,Kansai International,KIX,2026-08-16T19:20:00+00:00,landed
HX613,Hong Kong Airlines,Kansai International,KIX,2026-08-16T20:20:00+00:00,Hong Kong International,HKG,2026-08-16T23:50:00+00:00,active
HX614,Hong Kong Airlines,Hong Kong International,HKG,2026-08-16T08:25:00+00:00,Kansai International,KIX,2026-08-16T13:30:00+00:00,landed
HX615,Hong Kong Airlines,Kansai International,KIX,2026-08-16T14:30:00+00:00,Hong Kong International,HKG,2026-08-16T17:50:00+00:00,active
HX616,Hong Kong Airlines,Hong Kong International,HKG,2026-08-17T02:50:00+00:00,Kansai International,KIX,2026-08-17T07:55:00+00:00,scheduled
HX617,Hong Kong Airlines,Kansai International,KIX,2026-08-16T09:55:00+00:00,Hong Kong International,HKG,2026-08-16T13:10:00+00:00,landed
HX618,Hong Kong Airlines,Hong Kong International,HKG,2026-08-16T10:55:00+00:00,Kansai International,KIX,2026-08-16T16:00:00+00:00,landed
HX619,Hong Kong Airlines,Kansai International,KIX,2026-08-16T17:00:00+00:00,Hong Kong International,HKG,2026-08-16T20:20:00+00:00,active
HX632,Hong Kong Airlines,Hong Kong International,HKG,2026-08-15T11:55:00+00:00,Kansai International,KIX,2026-08-15T16:55:00+00:00,landed
HX633,Hong Kong Airlines,Kansai International,KIX,2026-08-15T17:55:00+00:00,Hong Kong International,HKG,2026-08-15T21:25:00+00:00,landed
UO686,HK express,Hong Kong International,HKG,2026-08-16T08:45:00+00:00,Kansai International,KIX,2026-08-16T13:30:00+00:00,landed
UO687,HK express,Kansai International,KIX,2026-08-16T14:25:00+00:00,Hong Kong International,HKG,2026-08-16T17:35:00+00:00,active
UO688,HK express,Hong Kong International,HKG,2026-08-16T14:55:00+00:00,Kansai International,KIX,2026-08-16T19:40:00+00:00,landed
UO689,HK express,Kansai International,KIX,2026-08-16T20:40:00+00:00,Hong Kong International,HKG,2026-08-16T23:50:00+00:00,active
UO810,HK express,Hong Kong International,HKG,2026-08-16T08:00:00+00:00,Kansai International,KIX,2026-08-16T12:45:00+00:00,landed
UO850,HK express,Hong Kong International,HKG,2026-08-15T07:05:00+00:00,Kansai International,KIX,2026-08-15T11:50:00+00:00,landed
UO851,HK express,Kansai International,KIX,2026-08-16T13:40:00+00:00,Hong Kong International,HKG,2026-08-16T17:00:00+00:00,landed
UO862,Cathay Pacific,Hong Kong International,HKG,2026-08-16T15:50:00+00:00,Kansai International,KIX,2026-08-16T20:35:00+00:00,landed
UO863,HK express,Kansai International,KIX,2026-08-16T21:30:00+00:00,Hong Kong International,HKG,2026-08-17T00:40:00+00:00,active
UO898,HK express,Hong Kong International,HKG,2026-08-16T11:20:00+00:00,Kansai International,KIX,2026-08-16T16:05:00+00:00,landed
HB321,Greater Bay Airlines,Narita International Airport,NRT,2026-08-16T15:50:00+00:00,Hong Kong International,HKG,2026-08-16T19:55:00+00:00,active
HB322,Greater Bay Airlines,Hong Kong International,HKG,2026-08-16T11:55:00+00:00,Narita International Airport,NRT,2026-08-16T17:25:00+00:00,landed
HB323,Greater Bay Airlines,Narita International Airport,NRT,2026-08-16T18:25:00+00:00,Hong Kong International,HKG,2026-08-16T22:25:00+00:00,active
HX604,Hong Kong Airlines,Hong Kong International,HKG,2026-08-16T08:30:00+00:00,Narita International Airport,NRT,2026-08-16T14:15:00+00:00,landed
HX605,Hong Kong Airlines,Narita International Airport,NRT,2026-08-16T15:15:00+00:00,Hong Kong International,HKG,2026-08-16T19:20:00+00:00,active
HX606,Hong Kong Airlines,Hong Kong International,HKG,2026-08-17T02:35:00+00:00,Narita International Airport,NRT,2026-08-17T08:20:00+00:00,scheduled
HX607,Hong Kong Airlines,Narita International Airport,NRT,2026-08-16T09:30:00+00:00,Hong Kong International,HKG,2026-08-16T13:30:00+00:00,landed
HX608,Turkish Airlines,Hong Kong International,HKG,2026-08-16T09:10:00+00:00,Narita International Airport,NRT,2026-08-16T14:55:00+00:00,landed
HX609,Hong Kong Airlines,Narita International Airport,NRT,2026-08-16T15:55:00+00:00,Hong Kong International,HKG,2026-08-16T20:00:00+00:00,active
HX630,Hong Kong Airlines,Hong Kong International,HKG,2026-08-16T14:20:00+00:00,Narita International Airport,NRT,2026-08-16T20:05:00+00:00,landed
HX631,Turkish Airlines,Narita International Airport,NRT,2026-08-16T21:05:00+00:00,Hong Kong International,HKG,2026-08-17T00:55:00+00:00,active
JL735,Japan Airlines,Narita International Airport,NRT,2026-08-16T18:20:00+00:00,Hong Kong International,HKG,2026-08-16T22:05:00+00:00,active
JL736,Japan Airlines,Hong Kong International,HKG,2026-08-16T10:30:00+00:00,Narita International Airport,NRT,2026-08-16T15:55:00+00:00,landed
NH811,Air New Zealand,Narita International Airport,NRT,2026-08-16T18:45:00+00:00,Hong Kong International,HKG,2026-08-16T22:35:00+00:00,active
NH812,Air New Zealand,Hong Kong International,HKG,2026-08-16T09:30:00+00:00,Narita International Airport,NRT,2026-08-16T15:10:00+00:00,landed
UO646,Cathay Pacific,Hong Kong International,HKG,2026-08-16T13:00:00+00:00,Narita International Airport,NRT,2026-08-16T18:25:00+00:00,landed
UO647,Cathay Pacific,Narita International Airport,NRT,2026-08-16T19:25:00+00:00,Hong Kong International,HKG,2026-08-16T23:20:00+00:00,active
UO650,HK express,Hong Kong International,HKG,2026-08-16T14:15:00+00:00,Narita International Airport,NRT,2026-08-16T19:45:00+00:00,landed
UO651,Cathay Pacific,Narita International Airport,NRT,2026-08-16T20:40:00+00:00,Hong Kong International,HKG,2026-08-17T00:35:00+00:00,active
UO652,HK express,Hong Kong International,HKG,2026-08-16T15:10:00+00:00,Narita International Airport,NRT,2026-08-16T20:40:00+00:00,landed
UO653,HK express,Narita International Airport,NRT,2026-08-16T21:35:00+00:00,Hong Kong International,HKG,2026-08-17T01:30:00+00:00,active
UO848,HK express,Hong Kong International,HKG,2026-08-16T09:15:00+00:00,Narita International Airport,NRT,2026-08-16T14:45:00+00:00,landed
UO849,HK express,Narita International Airport,NRT,2026-08-16T15:45:00+00:00,Hong Kong International,HKG,2026-08-16T19:40:00+00:00,active
UO854,HK express,Hong Kong International,HKG,2026-08-17T01:15:00+00:00,Narita International Airport,NRT,2026-08-17T06:45:00+00:00,scheduled
UO857,HK express,Narita International Airport,NRT,2026-08-16T08:00:00+00:00,Hong Kong International,HKG,2026-08-16T11:55:00+00:00,landed
UO870,HK express,Hong Kong International,HKG,2026-08-16T10:35:00+00:00,Narita International Airport,NRT,2026-08-16T16:05:00+00:00,landed
UO871,HK express,Narita International Airport,NRT,2026-08-16T17:05:00+00:00,Hong Kong International,HKG,2026-08-16T21:00:00+00:00,active
CX635,Cathay Pacific,Hong Kong International,HKG,2026-08-16T15:05:00+00:00,Singapore Changi,SIN,2026-08-16T19:05:00+00:00,landed
CX636,Fiji Airways,Singapore Changi,SIN,2026-08-16T20:05:00+00:00,Hong Kong International,HKG,2026-08-17T00:10:00+00:00,active
CX652,Fiji Airways,Singapore Changi,SIN,2026-08-16T12:45:00+00:00,Hong Kong International,HKG,2026-08-16T17:00:00+00:00,landed
CX658,Qatar Airways,Singapore Changi,SIN,2026-08-16T09:45:00+00:00,Hong Kong International,HKG,2026-08-16T13:55:00+00:00,landed
CX659,Cathay Pacific,Hong Kong International,HKG,2026-08-17T01:45:00+00:00,Singapore Changi,SIN,2026-08-17T05:30:00+00:00,scheduled
CX691,Cathay Pacific,Hong Kong International,HKG,2026-08-16T08:00:00+00:00,Singapore Changi,SIN,2026-08-16T11:45:00+00:00,landed
CX710,MIAT Mongolian Airlines,Singapore Changi,SIN,2026-08-16T07:20:00+00:00,Hong Kong International,HKG,2026-08-16T11:35:00+00:00,landed
CX711,Cathay Pacific,Hong Kong International,HKG,2026-08-16T17:00:00+00:00,Singapore Changi,SIN,2026-08-16T20:50:00+00:00,active
CX714,Cathay Pacific,Singapore Changi,SIN,2026-08-17T01:45:00+00:00,Hong Kong International,HKG,2026-08-17T05:50:00+00:00,scheduled
CX715,Cathay Pacific,Hong Kong International,HKG,2026-08-16T20:55:00+00:00,Singapore Changi,SIN,2026-08-17T00:45:00+00:00,scheduled
CX716,Fiji Airways,Singapore Changi,SIN,2026-08-16T18:00:00+00:00,Hong Kong International,HKG,2026-08-16T22:05:00+00:00,active
CX734,Fiji Airways,Singapore Changi,SIN,2026-08-16T16:05:00+00:00,Hong Kong International,HKG,2026-08-16T20:10:00+00:00,active
CX739,Cathay Pacific,Hong Kong International,HKG,2026-08-16T11:15:00+00:00,Singapore Changi,SIN,2026-08-16T15:05:00+00:00,landed
CX758,Fiji Airways,Singapore Changi,SIN,2026-08-16T13:25:00+00:00,Hong Kong International,HKG,2026-08-16T17:35:00+00:00,active
CX759,Cathay Pacific,Hong Kong International,HKG,2026-08-16T08:40:00+00:00,Singapore Changi,SIN,2026-08-16T12:25:00+00:00,landed
CX791,Cathay Pacific,Hong Kong International,HKG,2026-08-16T11:50:00+00:00,Singapore Changi,SIN,2026-08-16T15:40:00+00:00,landed
SQ874,Virgin Australia,Singapore Changi,SIN,2026-08-16T07:25:00+00:00,Hong Kong International,HKG,2026-08-16T11:20:00+00:00,landed
SQ875,Virgin Australia,Hong Kong International,HKG,2026-08-16T12:35:00+00:00,Singapore Changi,SIN,2026-08-16T16:30:00+00:00,landed
SQ882,Virgin Australia,Singapore Changi,SIN,2026-08-16T08:40:00+00:00,Hong Kong International,HKG,2026-08-16T12:40:00+00:00,landed
SQ883,Singapore Airlines,Hong Kong International,HKG,2026-08-16T14:25:00+00:00,Singapore Changi,SIN,2026-08-16T18:20:00+00:00,landed
SQ892,Virgin Australia,Singapore Changi,SIN,2026-08-16T09:50:00+00:00,Hong Kong International,HKG,2026-08-16T13:55:00+00:00,landed
SQ893,Virgin Australia,Hong Kong International,HKG,2026-08-16T15:40:00+00:00,Singapore Changi,SIN,2026-08-16T19:25:00+00:00,landed
SQ894,Virgin Australia,Singapore Changi,SIN,2026-08-16T13:05:00+00:00,Hong Kong International,HKG,2026-08-16T17:05:00+00:00,active
SQ895,Singapore Airlines,Hong Kong International,HKG,2026-08-16T18:50:00+00:00,Singapore Changi,SIN,2026-08-16T22:40:00+00:00,active
SQ898,Virgin Australia,Singapore Changi,SIN,2026-08-16T19:00:00+00:00,Hong Kong International,HKG,2026-08-16T23:00:00+00:00,active
SQ899,Virgin Australia,Hong Kong International,HKG,2026-08-16T09:05:00+00:00,Singapore Changi,SIN,2026-08-16T12:55:00+00:00,landed
TR982,Singapore Airlines,Singapore Changi,SIN,2026-08-16T15:25:00+00:00,Hong Kong International,HKG,2026-08-16T19:45:00+00:00,active
TR983,Scoot,Hong Kong International,HKG,2026-08-16T20:45:00+00:00,Singapore Changi,SIN,2026-08-17T00:45:00+00:00,scheduled
CX512,Cathay Pacific,Hong Kong International,HKG,2026-08-16T08:15:00+00:00,Fukuoka,FUK,2026-08-16T12:45:00+00:00,landed
CX513,Cathay Pacific,Fukuoka,FUK,2026-08-16T14:00:00+00:00,Hong Kong International,HKG,2026-08-16T16:45:00+00:00,landed
CX588,Cathay Pacific,Hong Kong International,HKG,2026-08-16T11:00:00+00:00,Fukuoka,FUK,2026-08-16T15:30:00+00:00,landed
CX589,Cathay Pacific,Fukuoka,FUK,2026-08-16T16:40:00+00:00,Hong Kong International,HKG,2026-08-16T19:25:00+00:00,landed
HB308,Greater Bay Airlines,Hong Kong International,HKG,2026-08-16T08:30:00+00:00,Fukuoka,FUK,2026-08-16T13:00:00+00:00,landed
HB309,Greater Bay Airlines,Fukuoka,FUK,2026-08-16T14:00:00+00:00,Hong Kong International,HKG,2026-08-16T16:50:00+00:00,landed
HB382,Greater Bay Airlines,Hong Kong International,HKG,2026-08-17T02:45:00+00:00,Fukuoka,FUK,2026-08-17T07:20:00+00:00,scheduled
HB383,Greater Bay Airlines,Fukuoka,FUK,2026-08-16T08:20:00+00:00,Hong Kong International,HKG,2026-08-16T11:00:00+00:00,landed
HX638,Hong Kong Airlines,Hong Kong International,HKG,2026-08-16T03:35:00+00:00,Fukuoka,FUK,2026-08-16T07:55:00+00:00,landed
HX639,Hong Kong Airlines,Fukuoka,FUK,2026-08-16T09:10:00+00:00,Hong Kong International,HKG,2026-08-16T11:20:00+00:00,landed
HX640,Hong Kong Airlines,Hong Kong International,HKG,2026-08-16T10:20:00+00:00,Fukuoka,FUK,2026-08-16T15:00:00+00:00,landed
HX641,Hong Kong Airlines,Fukuoka,FUK,2026-08-16T16:00:00+00:00,Hong Kong International,HKG,2026-08-16T18:45:00+00:00,landed
UO600,HK express,Hong Kong International,HKG,2026-08-16T07:35:00+00:00,Fukuoka,FUK,2026-08-16T12:00:00+00:00,landed
UO601,HK express,Fukuoka,FUK,2026-08-16T12:55:00+00:00,Hong Kong International,HKG,2026-08-16T15:35:00+00:00,landed
UO638,Cathay Pacific,Hong Kong International,HKG,2026-08-16T12:35:00+00:00,Fukuoka,FUK,2026-08-16T17:00:00+00:00,landed
UO639,HK express,Fukuoka,FUK,2026-08-16T18:00:00+00:00,Hong Kong International,HKG,2026-08-16T20:40:00+00:00,active
UO668,HK express,Hong Kong International,HKG,2026-08-16T10:55:00+00:00,Fukuoka,FUK,2026-08-16T15:20:00+00:00,landed
UO669,HK express,Fukuoka,FUK,2026-08-16T16:15:00+00:00,Hong Kong International,HKG,2026-08-16T19:00:00+00:00,landed
UO694,HK express,Hong Kong International,HKG,2026-08-16T15:15:00+00:00,Fukuoka,FUK,2026-08-16T19:40:00+00:00,active
UO695,HK express,Fukuoka,FUK,2026-08-16T20:35:00+00:00,Hong Kong International,HKG,2026-08-16T23:15:00+00:00,scheduled
HB336,Greater Bay Airlines,Hong Kong International,HKG,2026-08-16T09:20:00+00:00,Naha,OKA,2026-08-16T12:40:00+00:00,landed
HB337,Greater Bay Airlines,Naha,OKA,2026-08-16T13:40:00+00:00,Hong Kong International,HKG,2026-08-16T15:10:00+00:00,landed
HX658,Hong Kong Airlines,Hong Kong International,HKG,2026-08-16T11:20:00+00:00,Naha,OKA,2026-08-16T15:10:00+00:00,landed
HX659,Hong Kong Airlines,Naha,OKA,2026-08-16T16:10:00+00:00,Hong Kong International,HKG,2026-08-16T18:00:00+00:00,active
HX676,Hong Kong Airlines,Hong Kong International,HKG,2026-08-16T09:05:00+00:00,Naha,OKA,2026-08-16T12:55:00+00:00,landed
HX679,Hong Kong Airlines,Naha,OKA,2026-08-16T13:55:00+00:00,Hong Kong International,HKG,2026-08-16T15:50:00+00:00,landed
UO824,Cathay Pacific,Hong Kong International,HKG,2026-08-16T15:50:00+00:00,Naha,OKA,2026-08-16T19:30:00+00:00,landed
UO825,HK express,Naha,OKA,2026-08-16T20:25:00+00:00,Hong Kong International,HKG,2026-08-16T22:10:00+00:00,active
UO842,HK express,Hong Kong International,HKG,2026-08-16T07:00:00+00:00,Naha,OKA,2026-08-16T10:40:00+00:00,landed
UO843,HK express,Naha,OKA,2026-08-16T11:35:00+00:00,Hong Kong International,HKG,2026-08-16T13:20:00+00:00,landed
UO844,HK express,Hong Kong International,HKG,2026-08-16T14:25:00+00:00,Naha,OKA,2026-08-16T18:05:00+00:00,landed
UO845,Cathay Pacific,Naha,OKA,2026-08-16T18:50:00+00:00,Hong Kong International,HKG,2026-08-16T20:35:00+00:00,active
HB2550,Greater Bay Airlines,Da Nang,DAD,2026-08-15T02:00:00+00:00,Hong Kong International,HKG,2026-08-15T05:10:00+00:00,scheduled
HX542,Hong Kong Airlines,Hong Kong International,HKG,2026-08-17T02:15:00+00:00,Da Nang,DAD,2026-08-17T03:00:00+00:00,scheduled
HX543,Hong Kong Airlines,Da Nang,DAD,2026-08-16T04:00:00+00:00,Hong Kong International,HKG,2026-08-16T07:00:00+00:00,landed
HX546,Hong Kong Airlines,Hong Kong International,HKG,2026-08-16T18:50:00+00:00,Da Nang,DAD,2026-08-16T19:50:00+00:00,active
HX547,Hong Kong Airlines,Da Nang,DAD,2026-08-16T20:50:00+00:00,Hong Kong International,HKG,2026-08-17T00:05:00+00:00,scheduled
HX548,Hong Kong Airlines,Hong Kong International,HKG,2026-08-16T14:30:00+00:00,Da Nang,DAD,2026-08-16T15:20:00+00:00,active
HX549,Hong Kong Airlines,Da Nang,DAD,2026-08-16T16:20:00+00:00,Hong Kong International,HKG,2026-08-16T19:20:00+00:00,landed
UO552,HK express,Hong Kong International,HKG,2026-08-16T08:25:00+00:00,Da Nang,DAD,2026-08-16T09:20:00+00:00,landed
UO553,HK express,Da Nang,DAD,2026-08-16T10:05:00+00:00,Hong Kong International,HKG,2026-08-16T13:05:00+00:00,landed
UO558,Cathay Pacific,Hong Kong International,HKG,2026-08-16T16:30:00+00:00,Da Nang,DAD,2026-08-16T17:25:00+00:00,active
UO559,HK express,Da Nang,DAD,2026-08-16T18:10:00+00:00,Hong Kong International,HKG,2026-08-16T21:10:00+00:00,active
UO563,HK express,Da Nang,DAD,2026-08-16T11:50:00+00:00,Hong Kong International,HKG,2026-08-16T14:50:00+00:00,landed
UO566,Cathay Pacific,Hong Kong International,HKG,2026-08-16T10:10:00+00:00,Da Nang,DAD,2026-08-16T11:05:00+00:00,landed
CX880,Cathay Pacific,Hong Kong International,HKG,2026-08-17T00:05:00+00:00,Los Angeles International,LAX,2026-08-16T22:35:00+00:00,scheduled
CX881,MIAT Mongolian Airlines,Los Angeles International,LAX,2026-08-16T01:25:00+00:00,Hong Kong International,HKG,2026-08-17T06:45:00+00:00,active
CX882,Cathay Pacific,Hong Kong International,HKG,2026-08-16T18:25:00+00:00,Los Angeles International,LAX,2026-08-16T16:55:00+00:00,active
CX883,MIAT Mongolian Airlines,Los Angeles International,LAX,2026-08-16T00:25:00+00:00,Hong Kong International,HKG,2026-08-17T05:45:00+00:00,active
CX884,Malaysia Airlines,Hong Kong International,HKG,2026-08-16T12:45:00+00:00,Los Angeles International,LAX,2026-08-16T11:15:00+00:00,active
CX885,Malaysia Airlines,Los Angeles International,LAX,2026-08-15T13:20:00+00:00,Hong Kong International,HKG,2026-08-16T18:55:00+00:00,landed
UA152,United Airlines,Hong Kong International,HKG,2026-08-16T20:30:00+00:00,Tan Son Nhat International,SGN,2026-08-16T22:05:00+00:00,active
UA153,United Airlines,Hong Kong International,HKG,2026-08-16T12:40:00+00:00,Los Angeles International,LAX,2026-08-16T11:15:00+00:00,cancelled
UA820,United Airlines,Hong Kong International,HKG,2026-08-16T07:40:00+00:00,Suvarnabhumi International,BKK,2026-08-16T09:35:00+00:00,scheduled
UA821,United Airlines,Hong Kong International,HKG,2026-08-16T21:45:00+00:00,Los Angeles International,LAX,2026-08-16T20:20:00+00:00,active
