query_flight_iata,airline_name,departure_airport,departure_iata,departure_scheduled,arrival_airport,arrival_iata,arrival_scheduled,flight_status
MU766,China Eastern Airlines,Hong Kong International,HKG,2026-08-16T11:35:00+00:00,Nanjing Lukou International Airport,NKG,2026-08-16T14:00:00+00:00,landed
MU765,China Eastern Airlines,Nanjing Lukou International Airport,NKG,2026-08-16T08:00:00+00:00,Hong Kong International,HKG,2026-08-16T10:30:00+00:00,landed
HX216,Hong Kong Airlines,Hong Kong International,HKG,2026-08-16T15:15:00+00:00,Nanjing Lukou International Airport,NKG,2026-08-16T17:50:00+00:00,landed
HX217,Hainan Airlines,Nanjing Lukou International Airport,NKG,2026-08-16T18:55:00+00:00,Hong Kong International,HKG,2026-08-16T21:35:00+00:00,active
CX828,Cathay Pacific,Hong Kong International,HKG,2026-08-16T11:00:00+00:00,Lester B. Pearson International,YYZ,2026-08-16T14:00:00+00:00,scheduled
CX826,Cathay Pacific,Hong Kong International,HKG,2026-08-16T19:10:00+00:00,Lester B. Pearson International,YYZ,2026-08-16T22:10:00+00:00,active
CX829,Cathay Pacific,Lester B. Pearson International,YYZ,2026-08-16T01:50:00+00:00,Hong Kong International,HKG,2026-08-17T05:00:00+00:00,active
CX821,Cathay Pacific,Lester B. Pearson International,YYZ,2026-08-15T10:35:00+00:00,Hong Kong International,HKG,2026-08-16T14:00:00+00:00,scheduled
CX805,Cathay Pacific,Lester B. Pearson International,YYZ,2026-08-15T15:45:00+00:00,Hong Kong International,HKG,2026-08-16T19:10:00+00:00,scheduled
CX820,Cathay Pacific,Hong Kong International,HKG,2026-08-17T02:50:00+00:00,Lester B. Pearson International,YYZ,2026-08-17T05:45:00+00:00,scheduled
CX956,Cathay Pacific,Hong Kong International,HKG,2026-08-16T11:00:00+00:00,Lishe International Airport,NGB,2026-08-16T13:20:00+00:00,landed
CX955,Cathay Pacific,Lishe International Airport,NGB,2026-08-16T14:30:00+00:00,Hong Kong International,HKG,2026-08-16T16:55:00+00:00,active
MU2090,China Eastern Airlines,Hong Kong International,HKG,2026-08-16T12:35:00+00:00,Lishe International Airport,NGB,2026-08-16T14:55:00+00:00,landed
MU2089,China Eastern Airlines,Lishe International Airport,NGB,2026-08-16T08:55:00+00:00,Hong Kong International,HKG,2026-08-16T11:35:00+00:00,landed
UO227,HK express,Lishe International Airport,NGB,2026-08-16T09:20:00+00:00,Hong Kong International,HKG,2026-08-16T11:40:00+00:00,landed
UO226,Cathay Pacific,Hong Kong International,HKG,2026-08-16T19:50:00+00:00,Lishe International Airport,NGB,2026-08-16T22:05:00+00:00,scheduled
CX946,Cathay Pacific,Hong Kong International,HKG,2026-08-16T11:10:00+00:00,Xianyang,XIY,2026-08-16T14:30:00+00:00,landed
CX942,Cathay Pacific,Hong Kong International,HKG,2026-08-16T20:25:00+00:00,Xianyang,XIY,2026-08-16T23:40:00+00:00,scheduled
CX933,Cathay Pacific,Xianyang,XIY,2026-08-16T06:55:00+00:00,Hong Kong International,HKG,2026-08-16T10:10:00+00:00,landed
CX947,Air China,Xianyang,XIY,2026-08-16T15:50:00+00:00,Hong Kong International,HKG,2026-08-16T19:05:00+00:00,active
MU204,China Eastern Airlines,Hong Kong International,HKG,2026-08-16T14:35:00+00:00,Xianyang,XIY,2026-08-16T17:50:00+00:00,landed
MU203,Xiamen Air,Xianyang,XIY,2026-08-16T10:25:00+00:00,Hong Kong International,HKG,2026-08-16T13:35:00+00:00,landed
MU6096,China Eastern Airlines,Xianyang,XIY,2026-08-15T21:35:00+00:00,Xining,XNN,2026-08-15T23:05:00+00:00,landed
MU9624,China Eastern Airlines,Hong Kong International,HKG,2026-08-16T11:25:00+00:00,Kunming,KMG,2026-08-16T13:55:00+00:00,landed
MU734,China Eastern Airlines,Hong Kong International,HKG,2026-08-16T17:05:00+00:00,Kunming,KMG,2026-08-16T19:40:00+00:00,landed
MU9658,China Eastern Airlines,Hong Kong International,HKG,2026-08-16T21:15:00+00:00,Kunming,KMG,2026-08-16T23:50:00+00:00,scheduled
MU9623,Xiamen Air,Kunming,KMG,2026-08-16T08:05:00+00:00,Hong Kong International,HKG,2026-08-16T10:25:00+00:00,landed
MU733,China Eastern Airlines,Kunming,KMG,2026-08-16T13:40:00+00:00,Hong Kong International,HKG,2026-08-16T16:05:00+00:00,active
MU9657,China Eastern Airlines,Kunming,KMG,2026-08-16T18:00:00+00:00,Hong Kong International,HKG,2026-08-16T20:15:00+00:00,active
SU212,Aeroflot,Sheremetyevo International,SVO,2026-08-16T20:15:00+00:00,Hong Kong International,HKG,2026-08-17T10:35:00+00:00,scheduled
UO746,HK express,Hong Kong International,HKG,2026-08-16T11:55:00+00:00,Penang International,PEN,2026-08-16T15:40:00+00:00,landed
UO768,HK express,Hong Kong International,HKG,2026-08-16T20:30:00+00:00,Penang International,PEN,2026-08-17T00:15:00+00:00,scheduled
UO769,HK express,Penang International,PEN,2026-08-17T01:00:00+00:00,Hong Kong International,HKG,2026-08-17T04:55:00+00:00,scheduled
UO747,HK express,Penang International,PEN,2026-08-16T16:25:00+00:00,Hong Kong International,HKG,2026-08-16T20:20:00+00:00,active
CX633,Cathay Pacific,Hong Kong International,HKG,2026-08-16T08:15:00+00:00,Penang International,PEN,2026-08-16T12:00:00+00:00,landed
CX622,Cathay Pacific,Penang International,PEN,2026-08-16T07:30:00+00:00,Hong Kong International,HKG,2026-08-16T11:30:00+00:00,landed
CX634,Cathay Pacific,Penang International,PEN,2026-08-16T13:00:00+00:00,Hong Kong International,HKG,2026-08-16T17:10:00+00:00,active
CX621,Qatar Airways,Hong Kong International,HKG,2026-08-15T15:30:00+00:00,Penang International,PEN,2026-08-15T19:10:00+00:00,landed
OM298,MIAT Mongolian Airlines,Hong Kong International,HKG,2026-08-16T12:05:00+00:00,New Ulaanbaator International Airport,UBN,2026-08-16T16:45:00+00:00,landed
