Flight Number,Airline Code,Departure Airport,Arrival Airport,Flight Duration (Approx)
CX 841,CPA,John F Kennedy International Airport (JFK),Hong Kong International Airport (HKG),28hr 10mins
CX 843,CPA,John F Kennedy International Airport (JFK),Hong Kong International Airport (HKG),28hr 10mins
CX 844,CPA,Hong Kong International Airport (HKG),John F Kennedy International Airport (JFK),4hr 5mins
5J 110,CEB,Ninoy Aquino International Airport (MNL),Hong Kong International Airport (HKG),2hr 35mins
5J 111,CEB,Hong Kong International Airport (HKG),Ninoy Aquino International Airport (MNL),2hr 30mins
5J 112,CEB,Ninoy Aquino International Airport (MNL),Hong Kong International Airport (HKG),2hr 35mins
5J 113,CEB,Hong Kong International Airport (HKG),Ninoy Aquino International Airport (MNL),2hr 30mins
5J 114,CEB,Ninoy Aquino International Airport (MNL),Hong Kong International Airport (HKG),2hr 35mins
5J 115,CEB,Hong Kong International Airport (HKG),Ninoy Aquino International Airport (MNL),2hr 30mins
EK 380,UAE,Dubai International Airport (DXB),Hong Kong International Airport (HKG),12hr 5mins
EK 381,UAE,Hong Kong International Airport (HKG),Dubai International Airport (DXB),3hr 45mins
EK 382,UAE,Dubai International Airport (DXB),Hong Kong International Airport (HKG),12hr 5mins
EK 383,UAE,Hong Kong International Airport (HKG),Dubai International Airport (DXB),3hr 45mins
EK 384,UAE,Dubai International Airport (DXB),Hong Kong International Airport (HKG),12hr 5mins
AF 185,AFR,Hong Kong International Airport (HKG),Charles de Gaulle International Airport (CDG),7hr 30mins
AF 188,AFR,Charles de Gaulle International Airport (CDG),Hong Kong International Airport (HKG),18hr 10mins
CX 260,CPA,Charles de Gaulle International Airport (CDG),Hong Kong International Airport (HKG),18hr 10mins
CX 261,CPA,Hong Kong International Airport (HKG),Charles de Gaulle International Airport (CDG),7hr 30mins
CX 150,CPA,Brisbane International Airport (BNE),Hong Kong International Airport (HKG),7hr 0mins
CX 156,CPA,Brisbane International Airport (BNE),Hong Kong International Airport (HKG),7hr 0mins
CX 157,CPA,Hong Kong International Airport (HKG),Brisbane International Airport (BNE),10hr 35mins
CX 165,CPA,Hong Kong International Airport (HKG),Brisbane International Airport (BNE),10hr 35mins
CX 382,CPA,Zurich Airport (ZRH),Hong Kong International Airport (HKG),17hr 25mins
CX 383,CPA,Hong Kong International Airport (HKG),Zurich Airport (ZRH),7hr 5mins
LX 138,SWR,Zurich Airport (ZRH),Hong Kong International Airport (HKG),17hr 25mins
LX 139,SWR,Hong Kong International Airport (HKG),Zurich Airport (ZRH),7hr 5mins
QR 815,QTR,Hong Kong International Airport (HKG),Hamad International Airport (DOH),3hr 10mins
QR 816,QTR,Hamad International Airport (DOH),Hong Kong International Airport (HKG),13hr 25mins
QR 817,QTR,Hong Kong International Airport (HKG),Hamad International Airport (DOH),3hr 10mins
QR 818,QTR,Hamad International Airport (DOH),Hong Kong International Airport (HKG),13hr 25mins
UO 656,HKE,Hong Kong International Airport (HKG),Daegu Airport (TAE),4hr 30mins
UO 673,HKE,Daegu Airport (TAE),Hong Kong International Airport (HKG),2hr 35mins
UO 832,HKE,Hong Kong International Airport (HKG),Daegu Airport (TAE),4hr 30mins
UO 833,HKE,Daegu Airport (TAE),Hong Kong International Airport (HKG),2hr 35mins
ET 644,ETH,Bole International Airport (ADD),Hong Kong International Airport (HKG),2hr 0mins
ET 645,ETH,Hong Kong International Airport (HKG),Bole International Airport (ADD),2hr 15mins
CX 315,CPA,Hong Kong International Airport (HKG),Madrid Barajas International Airport (MAD),8hr 30mins
CX 372,CPA,Madrid Barajas International Airport (MAD),Hong Kong International Airport (HKG),18hr 30mins
CX 233,CPA,Hong Kong International Airport (HKG),Malpensa International Airport (MXP),7hr 10mins
CX 234,CPA,Malpensa International Airport (MXP),Hong Kong International Airport (HKG),17hr 30mins
CX 216,CPA,Manchester Airport (MAN),Hong Kong International Airport (HKG),19hr 25mins
CX 259,CPA,Hong Kong International Airport (HKG),Manchester Airport (MAN),7hr 20mins
CX 292,CPA,Leonardo Da Vinci (Fiumicino) International Airport (FCO),Hong Kong International Airport (HKG),17hr 0mins
CX 293,CPA,Hong Kong International Airport (HKG),Leonardo Da Vinci (Fiumicino) International Airport (FCO),7hr 0mins
CX 748,CPA,O. R. Tambo International Airport (JNB),Hong Kong International Airport (HKG),19hr 20mins
CX 749,CPA,Hong Kong International Airport (HKG),O. R. Tambo International Airport (JNB),6hr 50mins
5J 242,CEB,Iloilo International Airport (ILO),Hong Kong International Airport (HKG),2hr 50mins
5J 243,CEB,Hong Kong International Airport (HKG),Iloilo International Airport (ILO),2hr 50mins
CX 907,CPA,Hong Kong International Airport (HKG),Ninoy Aquino International Airport (MNL),2hr 30mins
CX 901,CPA,Hong Kong International Airport (HKG),Ninoy Aquino International Airport (MNL),2hr 30mins
CX 919,CPA,Hong Kong International Airport (HKG),Ninoy Aquino International Airport (MNL),2hr 30mins
CX 903,CPA,Hong Kong International Airport (HKG),Ninoy Aquino International Airport (MNL),2hr 30mins
