Flight Number,Airline Code,Departure Airport,Arrival Airport,Flight Duration (Approx)
GJ 8054,CDC,Hong Kong International Airport (HKG),Hangzhou Xiaoshan International Airport (HGH),2hr 25mins
GJ 8007,CDC,Hangzhou Xiaoshan International Airport (HGH),Hong Kong International Airport (HKG),2hr 40mins
GJ 8053,CDC,Hangzhou Xiaoshan International Airport (HGH),Hong Kong International Airport (HKG),2hr 40mins
CA 728,CCA,Hong Kong International Airport (HKG),Hangzhou Xiaoshan International Airport (HGH),2hr 25mins
CA 727,CCA,Hangzhou Xiaoshan International Airport (HGH),Hong Kong International Airport (HKG),2hr 40mins
UO 598,HKE,Hong Kong International Airport (HKG),Phu Quoc Airport (PQC),1hr 55mins
UO 596,HKE,Hong Kong International Airport (HKG),Phu Quoc Airport (PQC),1hr 55mins
UO 599,HKE,Phu Quoc Airport (PQC),Hong Kong International Airport (HKG),4hr 10mins
UO 597,HKE,Phu Quoc Airport (PQC),Hong Kong International Airport (HKG),4hr 10mins
9G 501,SPQ,Hong Kong International Airport (HKG),Phu Quoc Airport (PQC),1hr 55mins
9G 502,SPQ,Phu Quoc Airport (PQC),Hong Kong International Airport (HKG),4hr 10mins
VJ 985,VJC,Hong Kong International Airport (HKG),Phu Quoc Airport (PQC),1hr 55mins
VJ 986,VJC,Phu Quoc Airport (PQC),Hong Kong International Airport (HKG),4hr 10mins
UO 738,HKE,Hong Kong International Airport (HKG),Chiang Mai International Airport (CNX),1hr 55mins
UO 744,HKE,Hong Kong International Airport (HKG),Chiang Mai International Airport (CNX),1hr 55mins
UO 739,HKE,Chiang Mai International Airport (CNX),Hong Kong International Airport (HKG),3hr 55mins
UO 755,HKE,Chiang Mai International Airport (CNX),Hong Kong International Airport (HKG),3hr 55mins
CX 921,CPA,Hong Kong International Airport (HKG),Mactan Cebu International Airport (CEB),2hr 55mins
CX 925,CPA,Hong Kong International Airport (HKG),Mactan Cebu International Airport (CEB),2hr 55mins
CX 948,CPA,Mactan Cebu International Airport (CEB),Hong Kong International Airport (HKG),3hr 0mins
CX 926,CPA,Mactan Cebu International Airport (CEB),Hong Kong International Airport (HKG),3hr 0mins
5J 237,CEB,Hong Kong International Airport (HKG),Mactan Cebu International Airport (CEB),2hr 55mins
5J 236,CEB,Mactan Cebu International Airport (CEB),Hong Kong International Airport (HKG),3hr 0mins
UO 192,HKE,Hong Kong International Airport (HKG),Taichung Ching Chuang Kang Airport (RMQ),1hr 40mins
UO 102,HKE,Hong Kong International Airport (HKG),Taichung Ching Chuang Kang Airport (RMQ),1hr 40mins
UO 172,HKE,Hong Kong International Airport (HKG),Taichung Ching Chuang Kang Airport (RMQ),1hr 40mins
UO 182,HKE,Hong Kong International Airport (HKG),Taichung Ching Chuang Kang Airport (RMQ),1hr 40mins
UO 193,HKE,Taichung Ching Chuang Kang Airport (RMQ),Hong Kong International Airport (HKG),1hr 45mins
UO 103,HKE,Taichung Ching Chuang Kang Airport (RMQ),Hong Kong International Airport (HKG),1hr 45mins
UO 173,HKE,Taichung Ching Chuang Kang Airport (RMQ),Hong Kong International Airport (HKG),1hr 45mins
UO 183,HKE,Taichung Ching Chuang Kang Airport (RMQ),Hong Kong International Airport (HKG),1hr 45mins
UO 724,HKE,Hong Kong International Airport (HKG),Phuket International Airport (HKT),2hr 35mins
UO 784,HKE,Hong Kong International Airport (HKG),Phuket International Airport (HKT),2hr 35mins
UO 725,HKE,Phuket International Airport (HKT),Hong Kong International Airport (HKG),4hr 45mins
UO 795,HKE,Phuket International Airport (HKT),Hong Kong International Airport (HKG),4hr 45mins
CX 771,CPA,Hong Kong International Airport (HKG),Phuket International Airport (HKT),2hr 35mins
CX 773,CPA,Hong Kong International Airport (HKG),Phuket International Airport (HKT),2hr 35mins
CX 770,CPA,Phuket International Airport (HKT),Hong Kong International Airport (HKG),4hr 45mins
CX 778,CPA,Phuket International Airport (HKT),Hong Kong International Airport (HKG),4hr 45mins
CX 488,CPA,Hong Kong International Airport (HKG),Taiwan Taoyuan International Airport (TPE),1hr 50mins
CX 564,CPA,Hong Kong International Airport (HKG),Taiwan Taoyuan International Airport (TPE),1hr 50mins
CX 530,CPA,Hong Kong International Airport (HKG),Taiwan Taoyuan International Airport (TPE),1hr 50mins
CX 466,CPA,Hong Kong International Airport (HKG),Taiwan Taoyuan International Airport (TPE),1hr 50mins
CX 450,CPA,Hong Kong International Airport (HKG),Taiwan Taoyuan International Airport (TPE),1hr 50mins
CX 494,CPA,Hong Kong International Airport (HKG),Taiwan Taoyuan International Airport (TPE),1hr 50mins
CX 400,CPA,Hong Kong International Airport (HKG),Taiwan Taoyuan International Airport (TPE),1hr 50mins
CX 420,CPA,Hong Kong International Airport (HKG),Taiwan Taoyuan International Airport (TPE),1hr 50mins
CX 472,CPA,Hong Kong International Airport (HKG),Taiwan Taoyuan International Airport (TPE),1hr 50mins
CX 402,CPA,Hong Kong International Airport (HKG),Taiwan Taoyuan International Airport (TPE),1hr 50mins
CX 464,CPA,Hong Kong International Airport (HKG),Taiwan Taoyuan International Airport (TPE),1hr 50mins
CX 408,CPA,Hong Kong International Airport (HKG),Taiwan Taoyuan International Airport (TPE),1hr 50mins
CX 469,CPA,Taiwan Taoyuan International Airport (TPE),Hong Kong International Airport (HKG),2hr 5mins
CX 407,CPA,Taiwan Taoyuan International Airport (TPE),Hong Kong International Airport (HKG),2hr 5mins
CX 489,CPA,Taiwan Taoyuan International Airport (TPE),Hong Kong International Airport (HKG),2hr 5mins
CX 461,CPA,Taiwan Taoyuan International Airport (TPE),Hong Kong International Airport (HKG),2hr 5mins
CX 495,CPA,Taiwan Taoyuan International Airport (TPE),Hong Kong International Airport (HKG),2hr 5mins
CX 443,CPA,Taiwan Taoyuan International Airport (TPE),Hong Kong International Airport (HKG),2hr 5mins
CX 421,CPA,Taiwan Taoyuan International Airport (TPE),Hong Kong International Airport (HKG),2hr 5mins
CX 473,CPA,Taiwan Taoyuan International Airport (TPE),Hong Kong International Airport (HKG),2hr 5mins
CX 479,CPA,Taiwan Taoyuan International Airport (TPE),Hong Kong International Airport (HKG),2hr 5mins
CX 422,CPA,Hong Kong International Airport (HKG),Taiwan Taoyuan International Airport (TPE),1hr 50mins
CX 477,CPA,Taiwan Taoyuan International Airport (TPE),Hong Kong International Airport (HKG),2hr 5mins
CX 461D,CPA,Taiwan Taoyuan International Airport (TPE),Hong Kong International Airport (HKG),2hr 5mins
HB 702,HGB,Hong Kong International Airport (HKG),Taiwan Taoyuan International Airport (TPE),1hr 50mins
HB 704,HGB,Hong Kong International Airport (HKG),Taiwan Taoyuan International Airport (TPE),1hr 50mins
HB 710,HGB,Hong Kong International Airport (HKG),Taiwan Taoyuan International Airport (TPE),1hr 50mins
HB 711,HGB,Taiwan Taoyuan International Airport (TPE),Hong Kong International Airport (HKG),2hr 5mins
HB 703,HGB,Taiwan Taoyuan International Airport (TPE),Hong Kong International Airport (HKG),2hr 5mins
HB 705,HGB,Taiwan Taoyuan International Airport (TPE),Hong Kong International Airport (HKG),2hr 5mins
HB 726,HGB,Hong Kong International Airport (HKG),Taiwan Taoyuan International Airport (TPE),1hr 50mins
HB 727,HGB,Taiwan Taoyuan International Airport (TPE),Hong Kong International Airport (HKG),2hr 5mins
HX 252,CRK,Hong Kong International Airport (HKG),Taiwan Taoyuan International Airport (TPE),1hr 50mins
HX 254,CRK,Hong Kong International Airport (HKG),Taiwan Taoyuan International Airport (TPE),1hr 50mins
HX 260,CRK,Hong Kong International Airport (HKG),Taiwan Taoyuan International Airport (TPE),1hr 50mins
HX 282,CRK,Hong Kong International Airport (HKG),Taiwan Taoyuan International Airport (TPE),1hr 50mins
HX 253,CRK,Taiwan Taoyuan International Airport (TPE),Hong Kong International Airport (HKG),2hr 5mins
HX 255,CRK,Taiwan Taoyuan International Airport (TPE),Hong Kong International Airport (HKG),2hr 5mins
HX 261,CRK,Taiwan Taoyuan International Airport (TPE),Hong Kong International Airport (HKG),2hr 5mins
HX 283,CRK,Taiwan Taoyuan International Airport (TPE),Hong Kong International Airport (HKG),2hr 5mins
BR 892,EVA,Hong Kong International Airport (HKG),Taiwan Taoyuan International Airport (TPE),1hr 50mins
BR 852,EVA,Hong Kong International Airport (HKG),Taiwan Taoyuan International Airport (TPE),1hr 50mins
BR 868,EVA,Hong Kong International Airport (HKG),Taiwan Taoyuan International Airport (TPE),1hr 50mins
BR 870,EVA,Hong Kong International Airport (HKG),Taiwan Taoyuan International Airport (TPE),1hr 50mins
BR 872,EVA,Hong Kong International Airport (HKG),Taiwan Taoyuan International Airport (TPE),1hr 50mins
BR 858,EVA,Hong Kong International Airport (HKG),Taiwan Taoyuan International Airport (TPE),1hr 50mins
BR 891,EVA,Taiwan Taoyuan International Airport (TPE),Hong Kong International Airport (HKG),2hr 5mins
BR 851,EVA,Taiwan Taoyuan International Airport (TPE),Hong Kong International Airport (HKG),2hr 5mins
BR 867,EVA,Taiwan Taoyuan International Airport (TPE),Hong Kong International Airport (HKG),2hr 5mins
BR 869,EVA,Taiwan Taoyuan International Airport (TPE),Hong Kong International Airport (HKG),2hr 5mins
BR 871,EVA,Taiwan Taoyuan International Airport (TPE),Hong Kong International Airport (HKG),2hr 5mins
BR 857,EVA,Taiwan Taoyuan International Airport (TPE),Hong Kong International Airport (HKG),2hr 5mins
BR 810,EVA,Hong Kong International Airport (HKG),Taiwan Taoyuan International Airport (TPE),1hr 50mins
BR 809,EVA,Taiwan Taoyuan International Airport (TPE),Hong Kong International Airport (HKG),2hr 5mins
CI 602,CAL,Hong Kong International Airport (HKG),Taiwan Taoyuan International Airport (TPE),1hr 50mins
CI 910,CAL,Hong Kong International Airport (HKG),Taiwan Taoyuan International Airport (TPE),1hr 50mins
CI 916,CAL,Hong Kong International Airport (HKG),Taiwan Taoyuan International Airport (TPE),1hr 50mins
CI 920,CAL,Hong Kong International Airport (HKG),Taiwan Taoyuan International Airport (TPE),1hr 50mins
CI 924,CAL,Hong Kong International Airport (HKG),Taiwan Taoyuan International Airport (TPE),1hr 50mins
CI 601,CAL,Taiwan Taoyuan International Airport (TPE),Hong Kong International Airport (HKG),2hr 5mins
CI 909,CAL,Taiwan Taoyuan International Airport (TPE),Hong Kong International Airport (HKG),2hr 5mins
CI 915,CAL,Taiwan Taoyuan International Airport (TPE),Hong Kong International Airport (HKG),2hr 5mins
CI 919,CAL,Taiwan Taoyuan International Airport (TPE),Hong Kong International Airport (HKG),2hr 5mins
CI 923,CAL,Taiwan Taoyuan International Airport (TPE),Hong Kong International Airport (HKG),2hr 5mins
CI 904,CAL,Hong Kong International Airport (HKG),Taiwan Taoyuan International Airport (TPE),1hr 50mins
CI 903,CAL,Taiwan Taoyuan International Airport (TPE),Hong Kong International Airport (HKG),2hr 5mins
UO 110,HKE,Hong Kong International Airport (HKG),Taiwan Taoyuan International Airport (TPE),1hr 50mins
UO 112,HKE,Hong Kong International Airport (HKG),Taiwan Taoyuan International Airport (TPE),1hr 50mins
UO 114,HKE,Hong Kong International Airport (HKG),Taiwan Taoyuan International Airport (TPE),1hr 50mins
UO 116,HKE,Hong Kong International Airport (HKG),Taiwan Taoyuan International Airport (TPE),1hr 50mins
UO 111,HKE,Taiwan Taoyuan International Airport (TPE),Hong Kong International Airport (HKG),2hr 5mins
UO 113,HKE,Taiwan Taoyuan International Airport (TPE),Hong Kong International Airport (HKG),2hr 5mins
UO 115,HKE,Taiwan Taoyuan International Airport (TPE),Hong Kong International Airport (HKG),2hr 5mins
UO 117,HKE,Taiwan Taoyuan International Airport (TPE),Hong Kong International Airport (HKG),2hr 5mins
JX 234,SJX,Hong Kong International Airport (HKG),Taiwan Taoyuan International Airport (TPE),1hr 50mins
JX 236,SJX,Hong Kong International Airport (HKG),Taiwan Taoyuan International Airport (TPE),1hr 50mins
JX 233,SJX,Taiwan Taoyuan International Airport (TPE),Hong Kong International Airport (HKG),2hr 5mins
JX 235,SJX,Taiwan Taoyuan International Airport (TPE),Hong Kong International Airport (HKG),2hr 5mins
UO 130,HKE,Hong Kong International Airport (HKG),Kaohsiung International Airport (KHH),1hr 30mins
UO 136,HKE,Hong Kong International Airport (HKG),Kaohsiung International Airport (KHH),1hr 30mins
UO 134,HKE,Hong Kong International Airport (HKG),Kaohsiung International Airport (KHH),1hr 30mins
UO 131,HKE,Kaohsiung International Airport (KHH),Hong Kong International Airport (HKG),1hr 30mins
UO 133,HKE,Kaohsiung International Airport (KHH),Hong Kong International Airport (HKG),1hr 30mins
UO 135,HKE,Kaohsiung International Airport (KHH),Hong Kong International Airport (HKG),1hr 30mins
CX 432,CPA,Hong Kong International Airport (HKG),Kaohsiung International Airport (KHH),1hr 30mins
CX 424,CPA,Hong Kong International Airport (HKG),Kaohsiung International Airport (KHH),1hr 30mins
CX 458,CPA,Hong Kong International Airport (HKG),Kaohsiung International Airport (KHH),1hr 30mins
CX 448,CPA,Hong Kong International Airport (HKG),Kaohsiung International Airport (KHH),1hr 30mins
CX 449,CPA,Kaohsiung International Airport (KHH),Hong Kong International Airport (HKG),1hr 30mins
CX 431,CPA,Kaohsiung International Airport (KHH),Hong Kong International Airport (HKG),1hr 30mins
CX 423,CPA,Kaohsiung International Airport (KHH),Hong Kong International Airport (HKG),1hr 30mins
CX 459,CPA,Kaohsiung International Airport (KHH),Hong Kong International Airport (HKG),1hr 30mins
CI 934,CAL,Hong Kong International Airport (HKG),Kaohsiung International Airport (KHH),1hr 30mins
CI 936,CAL,Hong Kong International Airport (HKG),Kaohsiung International Airport (KHH),1hr 30mins
CI 933,CAL,Kaohsiung International Airport (KHH),Hong Kong International Airport (HKG),1hr 30mins
CI 935,CAL,Kaohsiung International Airport (KHH),Hong Kong International Airport (HKG),1hr 30mins
BR 846,EVA,Hong Kong International Airport (HKG),Kaohsiung International Airport (KHH),1hr 30mins
BR 850,EVA,Hong Kong International Airport (HKG),Kaohsiung International Airport (KHH),1hr 30mins
BR 845,EVA,Kaohsiung International Airport (KHH),Hong Kong International Airport (HKG),1hr 30mins
BR 849,EVA,Kaohsiung International Airport (KHH),Hong Kong International Airport (HKG),1hr 30mins
AE 984,MDA,Hong Kong International Airport (HKG),Kaohsiung International Airport (KHH),1hr 30mins
AE 983,MDA,Kaohsiung International Airport (KHH),Hong Kong International Airport (HKG),1hr 30mins
UO 706,HKE,Hong Kong International Airport (HKG),Sultan Abdul Aziz Shah International Airport (SZB),4hr 5mins
UO 717,HKE,Sultan Abdul Aziz Shah International Airport (SZB),Hong Kong International Airport (HKG),3hr 55mins
UO 716,HKE,Hong Kong International Airport (HKG),Sultan Abdul Aziz Shah International Airport (SZB),4hr 5mins
UO 896,HKE,Hong Kong International Airport (HKG),Sendai Airport (SDJ),5hr 35mins
UO 897,HKE,Sendai Airport (SDJ),Hong Kong International Airport (HKG),3hr 55mins
UO 896D,HKE,Hong Kong International Airport (HKG),Sendai Airport (SDJ),5hr 35mins
UO 897D,HKE,Sendai Airport (SDJ),Hong Kong International Airport (HKG),3hr 55mins
CX 257,CPA,Hong Kong International Airport (HKG),London Heathrow Airport (LHR),7hr 10mins
CX 253,CPA,Hong Kong International Airport (HKG),London Heathrow Airport (LHR),7hr 10mins
CX 251,CPA,Hong Kong International Airport (HKG),London Heathrow Airport (LHR),7hr 10mins
CX 237,CPA,Hong Kong International Airport (HKG),London Heathrow Airport (LHR),7hr 10mins
CX 255,CPA,Hong Kong International Airport (HKG),London Heathrow Airport (LHR),7hr 10mins
CX 252,CPA,London Heathrow Airport (LHR),Hong Kong International Airport (HKG),19hr 30mins
CX 238,CPA,London Heathrow Airport (LHR),Hong Kong International Airport (HKG),19hr 30mins
CX 250,CPA,London Heathrow Airport (LHR),Hong Kong International Airport (HKG),19hr 30mins
CX 256,CPA,London Heathrow Airport (LHR),Hong Kong International Airport (HKG),19hr 30mins
CX 254,CPA,London Heathrow Airport (LHR),Hong Kong International Airport (HKG),19hr 30mins
CX 239,CPA,Hong Kong International Airport (HKG),London Heathrow Airport (LHR),7hr 10mins
BA 032,BAW,Hong Kong International Airport (HKG),London Heathrow Airport (LHR),7hr 10mins
BA 031,BAW,London Heathrow Airport (LHR),Hong Kong International Airport (HKG),19hr 30mins
BA 032F,BAW,Hong Kong International Airport (HKG),London Heathrow Airport (LHR),7hr 10mins
CX 723,CPA,Hong Kong International Airport (HKG),Kuala Lumpur International Airport (KUL),3hr 55mins
CX 725,CPA,Hong Kong International Airport (HKG),Kuala Lumpur International Airport (KUL),3hr 55mins
CX 729,CPA,Hong Kong International Airport (HKG),Kuala Lumpur International Airport (KUL),3hr 55mins
CX 733,CPA,Hong Kong International Airport (HKG),Kuala Lumpur International Airport (KUL),3hr 55mins
CX 732,CPA,Kuala Lumpur International Airport (KUL),Hong Kong International Airport (HKG),4hr 15mins
CX 730,CPA,Kuala Lumpur International Airport (KUL),Hong Kong International Airport (HKG),4hr 15mins
CX 722,CPA,Kuala Lumpur International Airport (KUL),Hong Kong International Airport (HKG),4hr 15mins
CX 724,CPA,Kuala Lumpur International Airport (KUL),Hong Kong International Airport (HKG),4hr 15mins
MH 079,MAS,Hong Kong International Airport (HKG),Kuala Lumpur International Airport (KUL),3hr 55mins
MH 073,MAS,Hong Kong International Airport (HKG),Kuala Lumpur International Airport (KUL),3hr 55mins
MH 072,MAS,Kuala Lumpur International Airport (KUL),Hong Kong International Airport (HKG),4hr 15mins
MH 078,MAS,Kuala Lumpur International Airport (KUL),Hong Kong International Airport (HKG),4hr 15mins
AK 139,AXM,Hong Kong International Airport (HKG),Kuala Lumpur International Airport (KUL),3hr 55mins
AK 138,AXM,Kuala Lumpur International Airport (KUL),Hong Kong International Airport (HKG),4hr 15mins
OD 606,MXD,Hong Kong International Airport (HKG),Kuala Lumpur International Airport (KUL),3hr 55mins
OD 605,MXD,Kuala Lumpur International Airport (KUL),Hong Kong International Airport (HKG),4hr 15mins
CX 767,CPA,Hong Kong International Airport (HKG),Tan Son Nhat International Airport (SGN),1hr 45mins
CX 769,CPA,Hong Kong International Airport (HKG),Tan Son Nhat International Airport (SGN),1hr 45mins
CX 721,CPA,Hong Kong International Airport (HKG),Tan Son Nhat International Airport (SGN),1hr 45mins
CX 744,CPA,Tan Son Nhat International Airport (SGN),Hong Kong International Airport (HKG),3hr 45mins
CX 766,CPA,Tan Son Nhat International Airport (SGN),Hong Kong International Airport (HKG),3hr 45mins
CX 764,CPA,Tan Son Nhat International Airport (SGN),Hong Kong International Airport (HKG),3hr 45mins
CX 786,CPA,Tan Son Nhat International Airport (SGN),Hong Kong International Airport (HKG),3hr 45mins
VN 595,HVN,Hong Kong International Airport (HKG),Tan Son Nhat International Airport (SGN),1hr 45mins
VN 594,HVN,Tan Son Nhat International Airport (SGN),Hong Kong International Airport (HKG),3hr 45mins
VJ 877,VJC,Hong Kong International Airport (HKG),Tan Son Nhat International Airport (SGN),1hr 45mins
VJ 876,VJC,Tan Son Nhat International Airport (SGN),Hong Kong International Airport (HKG),3hr 45mins
AI 315,AIC,Hong Kong International Airport (HKG),Indira Gandhi International Airport (DEL),3hr 30mins
AI 314,AIC,Indira Gandhi International Airport (DEL),Hong Kong International Airport (HKG),8hr 5mins
CX 665,CPA,Hong Kong International Airport (HKG),Indira Gandhi International Airport (DEL),3hr 30mins
CX 679,CPA,Hong Kong International Airport (HKG),Indira Gandhi International Airport (DEL),3hr 30mins
CX 698,CPA,Indira Gandhi International Airport (DEL),Hong Kong International Airport (HKG),8hr 5mins
CX 694,CPA,Indira Gandhi International Airport (DEL),Hong Kong International Airport (HKG),8hr 5mins
UO 250,HKE,Hong Kong International Airport (HKG),Sanya Phoenix International Airport (SYX),1hr 45mins
UO 251,HKE,Sanya Phoenix International Airport (SYX),Hong Kong International Airport (HKG),1hr 30mins
HX 169,CRK,Hong Kong International Airport (HKG),Sanya Phoenix International Airport (SYX),1hr 45mins
HX 170,CRK,Sanya Phoenix International Airport (SYX),Hong Kong International Airport (HKG),1hr 30mins
CX 396,CPA,Hong Kong International Airport (HKG),Wenzhou Yongqiang Airport (WNZ),2hr 5mins
CX 307,CPA,Wenzhou Yongqiang Airport (WNZ),Hong Kong International Airport (HKG),2hr 5mins
CX 384,CPA,Hong Kong International Airport (HKG),Wenzhou Yongqiang Airport (WNZ),2hr 5mins
CX 385,CPA,Wenzhou Yongqiang Airport (WNZ),Hong Kong International Airport (HKG),2hr 5mins
CZ 5010,CSN,Hong Kong International Airport (HKG),Beijing Daxing International Airport (PKX),3hr 20mins
CZ 356,CSN,Hong Kong International Airport (HKG),Beijing Daxing International Airport (PKX),3hr 20mins
CZ 355,CSN,Beijing Daxing International Airport (PKX),Hong Kong International Airport (HKG),3hr 30mins
CZ 5009,CSN,Beijing Daxing International Airport (PKX),Hong Kong International Airport (HKG),3hr 30mins
HX 398,CRK,Hong Kong International Airport (HKG),Beijing Daxing International Airport (PKX),3hr 20mins
HX 399,CRK,Beijing Daxing International Airport (PKX),Hong Kong International Airport (HKG),3hr 30mins
MU 5016,CES,Hong Kong International Airport (HKG),Beijing Daxing International Airport (PKX),3hr 20mins
MU 5015,CES,Beijing Daxing International Airport (PKX),Hong Kong International Airport (HKG),3hr 30mins
CA 764,CCA,Hong Kong International Airport (HKG),Beijing Daxing International Airport (PKX),3hr 20mins
CA 763,CCA,Beijing Daxing International Airport (PKX),Hong Kong International Airport (HKG),3hr 30mins
UO 234,HKE,Hong Kong International Airport (HKG),Beijing Daxing International Airport (PKX),3hr 20mins
UO 235,HKE,Beijing Daxing International Airport (PKX),Hong Kong International Airport (HKG),3hr 30mins
CX 914,CPA,Hong Kong International Airport (HKG),Fuzhou Changle International Airport (FOC),1hr 45mins
CX 990,CPA,Hong Kong International Airport (HKG),Fuzhou Changle International Airport (FOC),1hr 45mins
CX 995,CPA,Fuzhou Changle International Airport (FOC),Hong Kong International Airport (HKG),1hr 55mins
CX 991,CPA,Fuzhou Changle International Airport (FOC),Hong Kong International Airport (HKG),1hr 55mins
MF 8664,CXA,Hong Kong International Airport (HKG),Fuzhou Changle International Airport (FOC),1hr 45mins
MF 8663,CXA,Fuzhou Changle International Airport (FOC),Hong Kong International Airport (HKG),1hr 55mins
CX 607,CPA,Hong Kong International Airport (HKG),Techo International Airport (KTI),1hr 40mins
CX 655,CPA,Hong Kong International Airport (HKG),Techo International Airport (KTI),1hr 40mins
CX 608,CPA,Techo International Airport (KTI),Hong Kong International Airport (HKG),3hr 50mins
CX 600,CPA,Techo International Airport (KTI),Hong Kong International Airport (HKG),3hr 50mins
KR 508,KME,Hong Kong International Airport (HKG),Techo International Airport (KTI),1hr 40mins
KR 507,KME,Techo International Airport (KTI),Hong Kong International Airport (HKG),3hr 50mins
CX 548,CPA,Hong Kong International Airport (HKG),Tokyo International Airport (HND),5hr 15mins
CX 542,CPA,Hong Kong International Airport (HKG),Tokyo International Airport (HND),5hr 15mins
CX 543,CPA,Tokyo International Airport (HND),Hong Kong International Airport (HKG),3hr 45mins
CX 549,CPA,Tokyo International Airport (HND),Hong Kong International Airport (HKG),3hr 45mins
NH 860,ANA,Hong Kong International Airport (HKG),Tokyo International Airport (HND),5hr 15mins
NH 814,ANA,Hong Kong International Airport (HKG),Tokyo International Airport (HND),5hr 15mins
NH 813,ANA,Tokyo International Airport (HND),Hong Kong International Airport (HKG),3hr 45mins
NH 859,ANA,Tokyo International Airport (HND),Hong Kong International Airport (HKG),3hr 45mins
JL 026,JAL,Hong Kong International Airport (HKG),Tokyo International Airport (HND),5hr 15mins
JL 029,JAL,Tokyo International Airport (HND),Hong Kong International Airport (HKG),3hr 45mins
UO 622,HKE,Hong Kong International Airport (HKG),Tokyo International Airport (HND),5hr 15mins
UO 628,HKE,Hong Kong International Airport (HKG),Tokyo International Airport (HND),5hr 15mins
UO 624,HKE,Hong Kong International Airport (HKG),Tokyo International Airport (HND),5hr 15mins
UO 623,HKE,Tokyo International Airport (HND),Hong Kong International Airport (HKG),3hr 45mins
UO 629,HKE,Tokyo International Airport (HND),Hong Kong International Airport (HKG),3hr 45mins
UO 625,HKE,Tokyo International Airport (HND),Hong Kong International Airport (HKG),3hr 45mins
HX 690,CRK,Hong Kong International Airport (HKG),New Chitose Airport (CTS),6hr 10mins
HX 691,CRK,New Chitose Airport (CTS),Hong Kong International Airport (HKG),4hr 50mins
HB 880,HGB,Hong Kong International Airport (HKG),New Chitose Airport (CTS),6hr 10mins
HB 881,HGB,New Chitose Airport (CTS),Hong Kong International Airport (HKG),4hr 50mins
CX 580,CPA,Hong Kong International Airport (HKG),New Chitose Airport (CTS),6hr 10mins
CX 581,CPA,New Chitose Airport (CTS),Hong Kong International Airport (HKG),4hr 50mins
CX 582,CPA,Hong Kong International Airport (HKG),New Chitose Airport (CTS),6hr 10mins
CX 583,CPA,New Chitose Airport (CTS),Hong Kong International Airport (HKG),4hr 50mins
TK 171,THY,Hong Kong International Airport (HKG),Istanbul Airport (IST),6hr 15mins
TK 071,THY,Hong Kong International Airport (HKG),Istanbul Airport (IST),6hr 15mins
TK 170,THY,Istanbul Airport (IST),Hong Kong International Airport (HKG),15hr 35mins
TK 070,THY,Istanbul Airport (IST),Hong Kong International Airport (HKG),15hr 35mins
CX 936,CPA,Hong Kong International Airport (HKG),Wuhan Tianhe International Airport (WUH),2hr 5mins
CX 937,CPA,Wuhan Tianhe International Airport (WUH),Hong Kong International Airport (HKG),2hr 20mins
CX 938,CPA,Hong Kong International Airport (HKG),Wuhan Tianhe International Airport (WUH),2hr 5mins
CX 931,CPA,Wuhan Tianhe International Airport (WUH),Hong Kong International Airport (HKG),2hr 20mins
CX 924,CPA,Hong Kong International Airport (HKG),Wuhan Tianhe International Airport (WUH),2hr 5mins
MU 2570,CES,Hong Kong International Airport (HKG),Wuhan Tianhe International Airport (WUH),2hr 5mins
MU 2569,CES,Wuhan Tianhe International Airport (WUH),Hong Kong International Airport (HKG),2hr 20mins
UO 822,HKE,Hong Kong International Airport (HKG),Hiroshima Airport (HIJ),4hr 35mins
UO 823,HKE,Hiroshima Airport (HIJ),Hong Kong International Airport (HKG),2hr 50mins
CX 777,CPA,Hong Kong International Airport (HKG),Soekarno-Hatta International Airport (CGK),4hr 0mins
CX 719,CPA,Hong Kong International Airport (HKG),Soekarno-Hatta International Airport (CGK),4hr 0mins
CX 797,CPA,Hong Kong International Airport (HKG),Soekarno-Hatta International Airport (CGK),4hr 0mins
CX 798,CPA,Soekarno-Hatta International Airport (CGK),Hong Kong International Airport (HKG),6hr 0mins
CX 718,CPA,Soekarno-Hatta International Airport (CGK),Hong Kong International Airport (HKG),6hr 0mins
CX 776,CPA,Soekarno-Hatta International Airport (CGK),Hong Kong International Airport (HKG),6hr 0mins
GA 863,GIA,Hong Kong International Airport (HKG),Soekarno-Hatta International Airport (CGK),4hr 0mins
GA 860,GIA,Soekarno-Hatta International Airport (CGK),Hong Kong International Airport (HKG),6hr 0mins
CX 330,CPA,Hong Kong International Airport (HKG),Changsha Huanghua Airport (CSX),1hr 45mins
CX 309,CPA,Changsha Huanghua Airport (CSX),Hong Kong International Airport (HKG),1hr 40mins
CX 314,CPA,Hong Kong International Airport (HKG),Changsha Huanghua Airport (CSX),1hr 45mins
CX 927,CPA,Changsha Huanghua Airport (CSX),Hong Kong International Airport (HKG),1hr 40mins
HB 8952,HGB,Hong Kong International Airport (HKG),Dunhuang Airport (DNH),5hr 15mins
HB 8953,HGB,Dunhuang Airport (DNH),Hong Kong International Airport (HKG),5hr 15mins
CX 970,CPA,Hong Kong International Airport (HKG),Xiamen Gaoqi International Airport (XMN),1hr 35mins
CX 978,CPA,Hong Kong International Airport (HKG),Xiamen Gaoqi International Airport (XMN),1hr 35mins
CX 973,CPA,Xiamen Gaoqi International Airport (XMN),Hong Kong International Airport (HKG),1hr 45mins
